Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,2980.000000,3070.000000,2955.000000,3025.000000,2834.531494,1706344500
2017-09-01,3025.000000,3150.000000,2935.000000,3055.000000,2862.642334,1734473500
2017-10-01,3055.000000,3150.000000,3025.000000,3120.000000,2923.549561,2053861500
2017-11-01,3115.000000,3410.000000,3115.000000,3210.000000,3007.882813,2431156100
2017-12-01,3210.000000,3720.000000,3210.000000,3640.000000,3410.807861,1524356200
2018-01-01,3640.000000,3920.000000,3460.000000,3700.000000,3467.030029,2611356400
2018-02-01,3730.000000,3910.000000,3650.000000,3780.000000,3541.992920,2061359700
2018-03-01,3800.000000,3820.000000,3450.000000,3600.000000,3373.326416,2486934900
2018-04-01,3500.000000,3670.000000,3160.000000,3220.000000,3017.253174,1081214100
2018-05-01,3220.000000,3300.000000,2720.000000,3080.000000,2974.260742,4487882600
2018-06-01,3080.000000,3270.000000,2740.000000,2840.000000,2742.500244,2473641400
2018-07-01,2890.000000,3110.000000,2770.000000,3070.000000,2964.604004,2195350000
2018-08-01,3070.000000,3470.000000,3020.000000,3180.000000,3070.827637,2482175800
2018-09-01,3180.000000,3220.000000,2900.000000,3150.000000,3041.857666,2379024600
2018-10-01,3150.000000,3190.000000,2870.000000,3150.000000,3041.857666,2166202100
2018-11-01,3190.000000,3760.000000,3160.000000,3620.000000,3495.722168,2748992500
2018-12-01,3720.000000,3780.000000,3520.000000,3660.000000,3534.348877,2051181200
2019-01-01,3660.000000,3870.000000,3580.000000,3850.000000,3717.825928,2729471400
2019-02-01,3880.000000,4000.000000,3750.000000,3850.000000,3717.825928,1838177500
2019-03-01,3870.000000,4140.000000,3780.000000,4110.000000,3968.899902,1499068200
2019-04-01,4140.000000,4730.000000,4130.000000,4370.000000,4219.974121,1915132300
2019-05-01,4370.000000,4420.000000,3660.000000,4100.000000,3959.243408,3300702100
2019-06-01,4100.000000,4400.000000,4100.000000,4360.000000,4360.000000,1682911100
2019-07-01,4400.000000,4560.000000,4360.000000,4480.000000,4480.000000,1656703800
2019-08-01,4490.000000,4510.000000,4000.000000,4270.000000,4270.000000,2367194500
2019-09-01,4270.000000,4350.000000,4020.000000,4180.000000,4180.000000,1834659200
